customer,months,year,Gross_sales_Amount
"Atliq Exclusive",September,2017,785.16
"Atliq Exclusive",September,2017,736.40
"Atliq Exclusive",September,2017,827.85
"Atliq Exclusive",September,2017,971.92
"Atliq Exclusive",September,2017,261.72
"Atliq Exclusive",September,2017,245.47
"Atliq Exclusive",September,2017,275.95
"Atliq Exclusive",September,2017,323.97
"Atliq Exclusive",September,2017,76.98
"Atliq Exclusive",September,2017,72.20
"Atliq Exclusive",September,2017,81.16
"Atliq Exclusive",September,2017,95.29
"Atliq Exclusive",September,2017,446.46
"Atliq Exclusive",September,2017,418.74
"Atliq Exclusive",September,2017,470.74
"Atliq Exclusive",September,2017,552.66
"Atliq Exclusive",September,2017,338.69
"Atliq Exclusive",September,2017,317.66
"Atliq Exclusive",September,2017,357.11
"Atliq Exclusive",September,2017,419.26
"Atliq Exclusive",September,2017,153.95
"Atliq Exclusive",September,2017,144.39
"Atliq Exclusive",September,2017,162.32
"Atliq Exclusive",September,2017,190.57
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,15.40
"Atliq Exclusive",September,2017,14.44
"Atliq Exclusive",September,2017,16.23
"Atliq Exclusive",September,2017,19.06
"Atliq Exclusive",September,2017,61.58
"Atliq Exclusive",September,2017,57.76
"Atliq Exclusive",September,2017,64.93
"Atliq Exclusive",September,2017,76.23
"Atliq Exclusive",September,2017,323.30
"Atliq Exclusive",September,2017,303.22
"Atliq Exclusive",September,2017,340.88
"Atliq Exclusive",September,2017,400.20
"Atliq Exclusive",September,2017,1508.24
"Atliq Exclusive",September,2017,1429.08
"Atliq Exclusive",September,2017,1529.04
"Atliq Exclusive",September,2017,1652.15
"Atliq Exclusive",September,2017,293.81
"Atliq Exclusive",September,2017,278.39
"Atliq Exclusive",September,2017,297.87
"Atliq Exclusive",September,2017,321.85
"Atliq Exclusive",September,2017,195.88
"Atliq Exclusive",September,2017,185.60
"Atliq Exclusive",September,2017,198.58
"Atliq Exclusive",September,2017,214.57
"Atliq Exclusive",September,2017,489.69
"Atliq Exclusive",September,2017,463.99
"Atliq Exclusive",September,2017,496.44
"Atliq Exclusive",September,2017,536.41
"Atliq Exclusive",September,2017,235.05
"Atliq Exclusive",September,2017,222.71
"Atliq Exclusive",September,2017,238.29
"Atliq Exclusive",September,2017,257.48
"Atliq Exclusive",September,2017,58.76
"Atliq Exclusive",September,2017,55.68
"Atliq Exclusive",September,2017,59.57
"Atliq Exclusive",September,2017,64.37
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,39.18
"Atliq Exclusive",September,2017,37.12
"Atliq Exclusive",September,2017,39.72
"Atliq Exclusive",September,2017,42.91
"Atliq Exclusive",September,2017,19.59
"Atliq Exclusive",September,2017,18.56
"Atliq Exclusive",September,2017,19.86
"Atliq Exclusive",September,2017,21.46
"Atliq Exclusive",September,2017,78.35
"Atliq Exclusive",September,2017,74.24
"Atliq Exclusive",September,2017,79.43
"Atliq Exclusive",September,2017,85.83
"Atliq Exclusive",September,2017,430.93
"Atliq Exclusive",September,2017,408.31
"Atliq Exclusive",September,2017,436.87
"Atliq Exclusive",September,2017,472.04
"Atliq Exclusive",September,2017,1045.60
"Atliq Exclusive",September,2017,1044.59
"Atliq Exclusive",September,2017,1195.11
"Atliq Exclusive",September,2017,1176.09
"Atliq Exclusive",September,2017,1295.57
"Atliq Exclusive",September,2017,251.72
"Atliq Exclusive",September,2017,251.47
"Atliq Exclusive",September,2017,287.71
"Atliq Exclusive",September,2017,283.13
"Atliq Exclusive",September,2017,311.90
"Atliq Exclusive",September,2017,116.18
"Atliq Exclusive",September,2017,116.07
"Atliq Exclusive",September,2017,132.79
"Atliq Exclusive",September,2017,130.68
"Atliq Exclusive",September,2017,143.95
"Atliq Exclusive",September,2017,271.08
"Atliq Exclusive",September,2017,270.82
"Atliq Exclusive",September,2017,309.84
"Atliq Exclusive",September,2017,304.91
"Atliq Exclusive",September,2017,335.89
"Atliq Exclusive",September,2017,96.82
"Atliq Exclusive",September,2017,96.72
"Atliq Exclusive",September,2017,110.66
"Atliq Exclusive",September,2017,108.90
"Atliq Exclusive",September,2017,119.96
"Atliq Exclusive",September,2017,251.72
"Atliq Exclusive",September,2017,251.47
"Atliq Exclusive",September,2017,287.71
"Atliq Exclusive",September,2017,283.13
"Atliq Exclusive",September,2017,311.90
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,19.36
"Atliq Exclusive",September,2017,19.34
"Atliq Exclusive",September,2017,22.13
"Atliq Exclusive",September,2017,21.78
"Atliq Exclusive",September,2017,23.99
"Atliq Exclusive",September,2017,19.36
"Atliq Exclusive",September,2017,19.34
"Atliq Exclusive",September,2017,22.13
"Atliq Exclusive",September,2017,21.78
"Atliq Exclusive",September,2017,23.99
"Atliq Exclusive",September,2017,19.36
"Atliq Exclusive",September,2017,19.34
"Atliq Exclusive",September,2017,22.13
"Atliq Exclusive",September,2017,21.78
"Atliq Exclusive",September,2017,23.99
"Atliq Exclusive",September,2017,329.17
"Atliq Exclusive",September,2017,328.85
"Atliq Exclusive",September,2017,376.24
"Atliq Exclusive",September,2017,370.25
"Atliq Exclusive",September,2017,407.86
"Atliq Exclusive",September,2017,822.12
"Atliq Exclusive",September,2017,777.30
"Atliq Exclusive",September,2017,872.48
"Atliq Exclusive",September,2017,964.86
"Atliq Exclusive",September,2017,992.45
"Atliq Exclusive",September,2017,215.32
"Atliq Exclusive",September,2017,203.58
"Atliq Exclusive",September,2017,228.51
"Atliq Exclusive",September,2017,252.70
"Atliq Exclusive",September,2017,259.93
"Atliq Exclusive",September,2017,176.17
"Atliq Exclusive",September,2017,166.56
"Atliq Exclusive",September,2017,186.96
"Atliq Exclusive",September,2017,206.76
"Atliq Exclusive",September,2017,212.67
"Atliq Exclusive",September,2017,313.19
"Atliq Exclusive",September,2017,296.12
"Atliq Exclusive",September,2017,332.37
"Atliq Exclusive",September,2017,367.57
"Atliq Exclusive",September,2017,378.08
"Atliq Exclusive",September,2017,97.87
"Atliq Exclusive",September,2017,92.54
"Atliq Exclusive",September,2017,103.87
"Atliq Exclusive",September,2017,114.86
"Atliq Exclusive",September,2017,118.15
"Atliq Exclusive",September,2017,234.89
"Atliq Exclusive",September,2017,222.09
"Atliq Exclusive",September,2017,249.28
"Atliq Exclusive",September,2017,275.67
"Atliq Exclusive",September,2017,283.56
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,39.15
"Atliq Exclusive",September,2017,37.01
"Atliq Exclusive",September,2017,41.55
"Atliq Exclusive",September,2017,45.95
"Atliq Exclusive",September,2017,47.26
"Atliq Exclusive",September,2017,19.57
"Atliq Exclusive",September,2017,18.51
"Atliq Exclusive",September,2017,20.77
"Atliq Exclusive",September,2017,22.97
"Atliq Exclusive",September,2017,23.63
"Atliq Exclusive",September,2017,39.15
"Atliq Exclusive",September,2017,37.01
"Atliq Exclusive",September,2017,41.55
"Atliq Exclusive",September,2017,45.95
"Atliq Exclusive",September,2017,47.26
"Atliq Exclusive",September,2017,1291.90
"Atliq Exclusive",September,2017,1221.48
"Atliq Exclusive",September,2017,1371.04
"Atliq Exclusive",September,2017,1516.21
"Atliq Exclusive",September,2017,1559.57
"Atliq Exclusive",September,2017,1063.65
"Atliq Exclusive",September,2017,941.72
"Atliq Exclusive",September,2017,1170.54
"Atliq Exclusive",September,2017,222.25
"Atliq Exclusive",September,2017,196.78
"Atliq Exclusive",September,2017,244.59
"Atliq Exclusive",September,2017,95.25
"Atliq Exclusive",September,2017,84.33
"Atliq Exclusive",September,2017,104.82
"Atliq Exclusive",September,2017,269.88
"Atliq Exclusive",September,2017,238.94
"Atliq Exclusive",September,2017,297.00
"Atliq Exclusive",September,2017,254.00
"Atliq Exclusive",September,2017,224.89
"Atliq Exclusive",September,2017,279.53
"Atliq Exclusive",September,2017,206.38
"Atliq Exclusive",September,2017,182.72
"Atliq Exclusive",September,2017,227.12
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,31.75
"Atliq Exclusive",September,2017,28.11
"Atliq Exclusive",September,2017,34.94
"Atliq Exclusive",September,2017,79.38
"Atliq Exclusive",September,2017,70.28
"Atliq Exclusive",September,2017,87.35
"Atliq Exclusive",September,2017,762.01
"Atliq Exclusive",September,2017,674.66
"Atliq Exclusive",September,2017,838.60
"Atliq Exclusive",September,2017,282.68
"Atliq Exclusive",September,2017,271.80
"Atliq Exclusive",September,2017,289.72
"Atliq Exclusive",September,2017,432.33
"Atliq Exclusive",September,2017,415.69
"Atliq Exclusive",September,2017,443.10
"Atliq Exclusive",September,2017,166.28
"Atliq Exclusive",September,2017,159.88
"Atliq Exclusive",September,2017,170.42
"Atliq Exclusive",September,2017,232.79
"Atliq Exclusive",September,2017,223.83
"Atliq Exclusive",September,2017,238.59
"Atliq Exclusive",September,2017,382.45
"Atliq Exclusive",September,2017,367.72
"Atliq Exclusive",September,2017,391.97
"Atliq Exclusive",September,2017,166.28
"Atliq Exclusive",September,2017,159.88
"Atliq Exclusive",September,2017,170.42
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,66.51
"Atliq Exclusive",September,2017,63.95
"Atliq Exclusive",September,2017,68.17
"Atliq Exclusive",September,2017,33.26
"Atliq Exclusive",September,2017,31.98
"Atliq Exclusive",September,2017,34.08
"Atliq Exclusive",September,2017,49.88
"Atliq Exclusive",September,2017,47.96
"Atliq Exclusive",September,2017,51.13
"Atliq Exclusive",September,2017,1313.62
"Atliq Exclusive",September,2017,1263.05
"Atliq Exclusive",September,2017,1346.33
"Atliq Exclusive",September,2017,446.12
"Atliq Exclusive",September,2017,398.36
"Atliq Exclusive",September,2017,436.09
"Atliq Exclusive",September,2017,488.09
"Atliq Exclusive",September,2017,527.28
"Atliq Exclusive",September,2017,428.28
"Atliq Exclusive",September,2017,382.43
"Atliq Exclusive",September,2017,418.65
"Atliq Exclusive",September,2017,468.56
"Atliq Exclusive",September,2017,506.19
"Atliq Exclusive",September,2017,53.53
"Atliq Exclusive",September,2017,47.80
"Atliq Exclusive",September,2017,52.33
"Atliq Exclusive",September,2017,58.57
"Atliq Exclusive",September,2017,63.27
"Atliq Exclusive",September,2017,124.91
"Atliq Exclusive",September,2017,111.54
"Atliq Exclusive",September,2017,122.11
"Atliq Exclusive",September,2017,136.66
"Atliq Exclusive",September,2017,147.64
"Atliq Exclusive",September,2017,142.76
"Atliq Exclusive",September,2017,127.48
"Atliq Exclusive",September,2017,139.55
"Atliq Exclusive",September,2017,156.19
"Atliq Exclusive",September,2017,168.73
"Atliq Exclusive",September,2017,160.60
"Atliq Exclusive",September,2017,143.41
"Atliq Exclusive",September,2017,156.99
"Atliq Exclusive",September,2017,175.71
"Atliq Exclusive",September,2017,189.82
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,0.00
"Atliq Exclusive",September,2017,17.84
"Atliq Exclusive",September,2017,15.93
"Atliq Exclusive",September,2017,17.44
"Atliq Exclusive",September,2017,19.52
"Atliq Exclusive",September,2017,21.09
"Atliq Exclusive",September,2017,35.69
"Atliq Exclusive",September,2017,31.87
"Atliq Exclusive",September,2017,34.89
"Atliq Exclusive",September,2017,39.05
"Atliq Exclusive",September,2017,42.18
"Atliq Exclusive",September,2017,71.38
"Atliq Exclusive",September,2017,63.74
"Atliq Exclusive",September,2017,69.77
"Atliq Exclusive",September,2017,78.09
"Atliq Exclusive",September,2017,84.37
"Atliq Exclusive",September,2017,1659.58
"Atliq Exclusive",September,2017,1481.91
"Atliq Exclusive",September,2017,1622.25
"Atliq Exclusive",September,2017,1815.69
"Atliq Exclusive",September,2017,1961.49
"Atliq Exclusive",September,2017,316.98
"Atliq Exclusive",September,2017,297.55
"Atliq Exclusive",September,2017,323.82
"Atliq Exclusive",September,2017,338.71
"Atliq Exclusive",September,2017,335.51
"Atliq Exclusive",September,2017,335.62
"Atliq Exclusive",September,2017,315.05
"Atliq Exclusive",September,2017,342.87
"Atliq Exclusive",September,2017,358.63
"Atliq Exclusive",September,2017,355.25
"Atliq Exclusive",September,2017,74.58
"Atliq Exclusive",September,2017,70.01
"Atliq Exclusive",September,2017,76.19
"Atliq Exclusive",September,2017,79.70
"Atliq Exclusive",September,2017,78.94
"Atliq Exclusive",September,2017,988.22
"Atliq Exclusive",September,2017,927.64
"Atliq Exclusive",September,2017,1009.57
"Atliq Exclusive",September,2017,1055.97
"Atliq Exclusive",September,2017,1046.00
"Atliq Exclusive",September,2017,74.58
"Atliq Exclusive",September,2017,70.01
"Atliq Exclusive",September,2017,76.19
"Atliq Exclusive",September,2017,79.70
"Atliq Exclusive",September,2017,78.94
"Atliq Exclusive",September,2017,298.33
"Atliq Exclusive",September,2017,280.04
